DO_Borough,DO_Zone,count(DO_Zone),DOLocationID,count(DOLocationID)
Bronx,Morrisania/Melrose,4462,167,4462
Queens,Hillcrest/Pomonok,3910,121,3910
Bronx,Soundview/Bruckner,3639,212,3639
Brooklyn,Bensonhurst East,3186,21,3186
Bronx,Woodlawn/Wakefield,3117,259,3117
Brooklyn,Manhattan Beach,1277,150,1277
Staten Island,Freshkills Park,14,99,14
Staten Island,Great Kills Park,1,110,1
Manhattan,Hudson Sq,149679,125,149679
Queens,South Ozone Park,9905,216,9905
Brooklyn,Sheepshead Bay,2849,210,2849
Bronx,Claremont/Bathgate,2361,47,2361
Staten Island,Westerleigh,422,251,422
Staten Island,Great Kills,280,109,280
Manhattan,Union Sq,793792,234,793792
Manhattan,Gramercy,607119,107,607119
Manhattan,Kips Bay,409364,137,409364
Queens,JFK Airport,219990,132,219990
Queens,Jamaica Estates,3445,131,3445
Brooklyn,Brighton Beach,2652,29,2652
Queens,Queensboro Hill,2156,192,2156
Queens,Oakland Gardens,2069,175,2069
Bronx,Van Cortlandt Park,752,240,752
Brooklyn,Park Slope,99296,181,99296
Brooklyn,Boerum Hill,52154,25,52154
Brooklyn,Fort Greene,50091,97,50091
Queens,Middle Village,8367,160,8367
Brooklyn,Dyker Heights,4515,67,4515
Queens,Queens Village,2585,191,2585
Manhattan,Marble Hill,1292,153,1292
Manhattan,Chinatown,79455,45,79455
Queens,Old Astoria,41884,179,41884
Queens,Richmond Hill,5826,197,5826
Bronx,Pelham Parkway,3226,185,3226
Queens,Rockaway Park,1043,201,1043
Brooklyn,Starrett City,763,222,763
Brooklyn,Bay Ridge,21764,14,21764
Brooklyn,Kensington,9096,133,9096
Bronx,Melrose South,8597,159,8597
Brooklyn,Brownsville,3466,35,3466
Queens,Howard Beach,2642,124,2642
Queens,Fresh Meadows,2460,98,2460
Staten Island,Oakwood,190,176,190
Bronx,Pelham Bay Park,164,184,164
Queens,Sunnyside,75424,226,75424
Manhattan,Inwood,22054,127,22054
Brooklyn,Gowanus,15199,106,15199
Queens,Kew Gardens,6212,134,6212
Brooklyn,Gravesend,1734,108,1734
Queens,Willets Point,147,253,147
Queens,Steinway,59610,223,59610
Bronx,Bedford Park,4144,18,4144
Bronx,Hunts Point,3348,126,3348
Queens,Ozone Park,2091,180,2091
Queens,Astoria,134329,7,134329
Queens,Flushing,10472,92,10472
Brooklyn,Midwood,5233,165,5233
Brooklyn,Canarsie,4708,39,4708
Queens,Douglaston,1911,64,1911
Queens,Laurelton,1673,139,1673
Queens,Glen Oaks,1309,101,1309
Brooklyn,Erasmus,4108,85,4108
Queens,Glendale,3917,102,3917
Queens,Auburndale,1505,9,1505
Queens,Bellerose,1468,19,1468
Bronx,Country Club,576,58,576
Queens,Broad Channel,88,30,88
Unknown,NV,449061,264,449061
Queens,Maspeth,9996,157,9996
Queens,Jamaica,6278,130,6278
Bronx,City Island,418,46,418
Bronx,Norwood,3345,174,3345
Bronx,Rikers Island,2,199,2
Unknown,NA,62700,265,62700
Queens,Corona,7511,56,7511
Queens,Corona,1322,57,1322
Queens,Hollis,975,122,975
