DO_Borough,DO_Zone,count(DO_Zone),DOLocationID,count(DOLocationID)
Queens,Cambria Heights,1921,38,1921
Staten Island,Stapleton,627,221,627
Queens,Old Astoria,45779,179,45779
Queens,Baisley Park,11285,10,11285
Queens,Richmond Hill,7061,197,7061
Bronx,Pelham Parkway,3644,185,3644
Brooklyn,Coney Island,2779,55,2779
Queens,Rockaway Park,1216,201,1216
Brooklyn,Starrett City,917,222,917
Brooklyn,Bay Ridge,24863,14,24863
Bronx,Melrose South,9567,159,9567
Brooklyn,Kensington,9456,133,9456
Queens,North Corona,8910,173,8910
Brooklyn,Ocean Hill,6756,177,6756
Brooklyn,Brownsville,4122,35,4122
Queens,Howard Beach,3215,124,3215
Queens,East Flushing,1805,73,1805
Staten Island,Oakwood,224,176,224
Bronx,Pelham Bay Park,190,184,190
Queens,Sunnyside,83728,226,83728
EWR,Newark Airport,60342,1,60342
Brooklyn,Gowanus,17465,106,17465
Queens,Kew Gardens,7231,134,7231
Bronx,Fordham South,2446,94,2446
Brooklyn,Bath Beach,2140,11,2140
Brooklyn,Gravesend,1691,108,1691
Queens,Far Rockaway,1482,86,1482
Queens,Willets Point,185,253,185
Queens,Steinway,66245,223,66245
Queens,Woodside,38006,260,38006
Brooklyn,Flatlands,5282,91,5282
Bronx,Bedford Park,4734,18,4734
Queens,Whitestone,4238,252,4238
Bronx,East Tremont,2983,78,2983
Queens,Broad Channel,104,30,104
Queens,Astoria,145450,7,145450
Queens,Flushing,12614,92,12614
Bronx,Highbridge,6911,119,6911
Bronx,Mount Hope,6080,169,6080
Brooklyn,Canarsie,5778,39,5778
Queens,Woodhaven,5424,258,5424
Brooklyn,Madison,3241,149,3241
Queens,Glen Oaks,1701,101,1701
Bronx,Pelham Bay,1431,183,1431
Bronx,Eastchester,1332,81,1332
Queens,Rosedale,2632,203,2632
Bronx,Co-Op City,2437,51,2437
Queens,Astoria Park,590,8,590
Bronx,Rikers Island,18,199,18
Bronx,Longwood,3492,147,3492
Bronx,Bronxdale,2167,32,2167
Bronx,City Island,454,46,454
Bronx,Norwood,3822,174,3822
Unknown,NA,75773,265,75773
Queens,Corona,8083,56,8083
Queens,Corona,1617,57,1617
