PU_Borough,PUWeekday,PUHour,avg(passenger_count)
Unknown,Saturday,9,1.5079963445282156
Bronx,Monday,23,1.5073684210526315
Unknown,Sunday,12,1.5073477406679765
Unknown,Sunday,13,1.5070656691604323
Unknown,Sunday,3,1.5068931289290834
Unknown,Sunday,20,1.5068421511374532
Brooklyn,Wednesday,17,1.5068275643061289
EWR,Tuesday,7,1.4528301886792452
Bronx,Saturday,12,1.4515151515151514
Unknown,Wednesday,5,1.4510102935569957
Unknown,Thursday,21,1.4509781089892875
Unknown,Tuesday,6,1.4503227838135726
Unknown,Tuesday,22,1.4502001231527093
Bronx,Saturday,7,1.7052441229656419
Queens,Saturday,15,1.7048239208049334
Manhattan,Sunday,1,1.7047669822543596
Bronx,Tuesday,7,1.7044476327116211
Queens,Saturday,14,1.7009702526921846
Manhattan,Sunday,3,1.700426668201816
Queens,Sunday,3,1.6330562123407826
Queens,Sunday,8,1.6329959595151418
Queens,Wednesday,9,1.6328613224107664
Brooklyn,Monday,21,1.631803527403755
EWR,Saturday,18,1.631578947368421
Staten Island,Saturday,4,1.631578947368421
Bronx,Monday,6,1.6209150326797386
Brooklyn,Sunday,19,1.6208535926526202
Queens,Monday,8,1.620691790151484
Manhattan,Monday,20,1.6205606658582863
Manhattan,Friday,3,1.620515464590363
Brooklyn,Wednesday,0,1.6202756404836391
Queens,Sunday,6,1.62015503875969
Manhattan,Friday,15,1.6193814740217034
Queens,Saturday,7,1.6190672040799539
Queens,Sunday,22,1.6187582196995915
Brooklyn,Sunday,21,1.6186102236421724
Brooklyn,Thursday,23,1.617893586005831
Manhattan,Monday,14,1.61758636518402
EWR,Saturday,7,1.6170212765957446
Brooklyn,Saturday,3,1.616503430883819
Queens,Monday,1,1.6163374623367928
Manhattan,Monday,17,1.6161848216951942
Brooklyn,Saturday,9,1.6154511075094544
Brooklyn,Wednesday,8,1.5613032984714401
Bronx,Monday,7,1.5611413043478262
Brooklyn,Tuesday,9,1.5611206761621537
Manhattan,Monday,8,1.561025384670318
Bronx,Friday,6,1.5609284332688589
Brooklyn,Tuesday,17,1.5604285236022766
EWR,Thursday,21,1.5555555555555556
Staten Island,Sunday,14,1.5555555555555556
Staten Island,Tuesday,17,1.5555555555555556
EWR,Monday,1,1.5555555555555556
EWR,Friday,23,1.5555555555555556
Bronx,Sunday,11,1.5553745928338762
Unknown,Thursday,20,1.437586559884386
Unknown,Tuesday,3,1.4371301775147929
EWR,Saturday,17,1.4366197183098592
Unknown,Tuesday,2,1.4362282878411912
Unknown,Monday,13,1.435463606667225
Unknown,Thursday,16,1.4343014128728415
Unknown,Monday,5,1.409860745201355
Unknown,Wednesday,4,1.4097350585335797
EWR,Friday,19,1.4096385542168675
Unknown,Wednesday,8,1.4095857026807475
Unknown,Tuesday,4,1.407536636427076
Unknown,Wednesday,15,1.4075029481132075
Queens,Tuesday,13,1.6521554169030062
Bronx,Friday,7,1.6518691588785046
Queens,Wednesday,15,1.651865423649656
Bronx,Thursday,7,1.6514575411913814
Queens,Wednesday,12,1.6512437702670353
Brooklyn,Sunday,3,1.6511191264390532
Brooklyn,Sunday,4,1.6431998006354744
Queens,Tuesday,22,1.6430098098317532
EWR,Saturday,11,1.6428571428571428
Queens,Thursday,23,1.6426165126375902
Queens,Monday,23,1.6417637651359378
Manhattan,Friday,0,1.6417362692989117
Queens,Friday,3,1.6416412047140987
Bronx,Wednesday,17,1.641350210970464
Manhattan,Thursday,23,1.6413283004268735
Bronx,Monday,12,1.641255605381166
Bronx,Saturday,9,1.6411960132890366
Queens,Thursday,22,1.6408571953930762
Brooklyn,Friday,7,1.5919294494922502
Manhattan,Friday,10,1.5918225105141346
Brooklyn,Tuesday,0,1.5911483510581157
Queens,Monday,3,1.5911073825503357
Bronx,Friday,10,1.5910224438902743
Brooklyn,Sunday,5,1.5909407665505226
Queens,Wednesday,4,1.55298233922026
Brooklyn,Tuesday,13,1.552687662798958
EWR,Monday,12,1.5522388059701493
Brooklyn,Wednesday,13,1.5522079116835326
Manhattan,Tuesday,7,1.5520518928427456
Bronx,Friday,1,1.5511811023622046
Bronx,Monday,9,1.440881763527054
Unknown,Monday,18,1.4396019900497512
Unknown,Thursday,17,1.439428453095879
Unknown,Tuesday,15,1.439322240879255
Unknown,Friday,4,1.4383308714918759
Unknown,Wednesday,16,1.4378548895899053
Unknown,Wednesday,20,1.4266911345946973
Bronx,Monday,3,1.4254658385093169
Unknown,Thursday,2,1.4253565768621237
Unknown,Thursday,4,1.4249743062692704
Bronx,Thursday,5,1.424778761061947
Unknown,Monday,3,1.4242038216560509
Unknown,Thursday,11,1.392378990731205
Unknown,Tuesday,8,1.392054978209856
Unknown,Monday,8,1.3909713461885025
Bronx,Tuesday,1,1.3898305084745763
Unknown,Monday,7,1.3891511908509075
Unknown,Wednesday,10,1.3889345384826075
Staten Island,Saturday,3,1.263157894736842
