PU_Borough,PU_Zone,count(PU_Zone),PULocationID,count(PULocationID)
Bronx,Van Cortlandt Village,257,241,257
Staten Island,Mariners Harbor,19,156,19
Staten Island,Rossville/Woodrow,3,204,3
Brooklyn,Brooklyn Navy Yard,860,34,860
Manhattan,Inwood Hill Park,204,128,204
Brooklyn,Green-Wood Cemetery,57,111,57
Manhattan,Bloomingdale,73662,24,73662
Manhattan,Alphabet City,64224,4,64224
Manhattan,Battery Park,17872,12,17872
Brooklyn,Columbia Street,1402,54,1402
Bronx,Kingsbridge Heights,312,136,312
Manhattan,Union Sq,866156,234,866156
Queens,Elmhurst/Maspeth,3673,83,3673
Brooklyn,Bushwick North,3633,36,3633
Bronx,Morrisania/Melrose,542,167,542
Queens,Kew Gardens Hills,535,135,535
Queens,Hillcrest/Pomonok,191,121,191
Brooklyn,Bensonhurst East,144,21,144
Manhattan,Flatiron,495881,90,495881
Brooklyn,Greenpoint,15100,112,15100
Brooklyn,Sheepshead Bay,157,210,157
Staten Island,Port Richmond,6,187,6
Queens,Old Astoria,17264,179,17264
Queens,South Jamaica,2047,215,2047
Queens,Richmond Hill,1018,197,1018
Bronx,Crotona Park East,193,60,193
Queens,East Elmhurst,4764,70,4764
Bronx,Melrose South,1429,159,1429
Brooklyn,Kensington,1262,133,1262
Queens,North Corona,1014,173,1014
Queens,Middle Village,427,160,427
Manhattan,Marble Hill,258,153,258
Queens,Queens Village,210,191,210
Queens,Baisley Park,6681,10,6681
Queens,Kew Gardens,1502,134,1502
Brooklyn,Borough Park,709,26,709
Brooklyn,Coney Island,200,55,200
Bronx,Pelham Parkway,186,185,186
Queens,Hammels/Arverne,91,117,91
Brooklyn,Starrett City,82,222,82
Queens,Oakland Gardens,72,175,72
Queens,Steinway,16898,223,16898
Brooklyn,Ocean Hill,636,177,636
Queens,Howard Beach,323,124,323
Queens,College Point,173,53,173
Queens,Saint Albans,141,205,141
Bronx,Pelham Bay Park,29,184,29
Brooklyn,Gowanus,5083,106,5083
Manhattan,Inwood,2801,127,2801
Queens,Rego Park,2153,196,2153
Brooklyn,Homecrest,289,123,289
Brooklyn,Bath Beach,158,11,158
Queens,Rockaway Park,33,201,33
Brooklyn,Flatlands,441,91,441
Queens,Astoria Park,354,8,354
Bronx,Hunts Point,353,126,353
Queens,Whitestone,221,252,221
