PU_Borough,PU_Zone,count(PU_Zone),PULocationID,count(PULocationID)
Brooklyn,Manhattan Beach,121,150,121
Bronx,Woodlawn/Wakefield,110,259,110
Staten Island,Freshkills Park,4,99,4
Manhattan,Flatiron,521757,90,521757
Brooklyn,Park Slope,29840,181,29840
Brooklyn,Fort Greene,25971,97,25971
Brooklyn,Cobble Hill,16005,52,16005
Bronx,Claremont/Bathgate,252,47,252
Brooklyn,Sheepshead Bay,196,210,196
Manhattan,Chinatown,65519,45,65519
Queens,Old Astoria,15929,179,15929
Bronx,West Concourse,3963,247,3963
Queens,South Jamaica,2195,215,2195
Queens,Queensboro Hill,263,192,263
Queens,Oakland Gardens,112,175,112
Brooklyn,Kensington,1152,133,1152
Brooklyn,East New York,859,76,859
Queens,Middle Village,413,160,413
Manhattan,Marble Hill,236,153,236
Brooklyn,Dyker Heights,213,67,213
Queens,Queens Village,190,191,190
Queens,Baisley Park,7667,10,7667
Brooklyn,Borough Park,688,26,688
Bronx,Pelham Parkway,137,185,137
Brooklyn,Starrett City,91,222,91
Queens,Woodside,15805,260,15805
Queens,Steinway,14760,223,14760
Brooklyn,Bay Ridge,1119,14,1119
Brooklyn,Ocean Hill,520,177,520
Queens,College Point,216,53,216
Queens,Saint Albans,145,205,145
Queens,Cambria Heights,99,38,99
Brooklyn,Gowanus,4686,106,4686
Manhattan,Inwood,2227,127,2227
EWR,Newark Airport,2068,1,2068
Queens,Rego Park,2049,196,2049
Brooklyn,Homecrest,293,123,293
Brooklyn,Bath Beach,202,11,202
Queens,Rockaway Park,14,201,14
Brooklyn,Bedford,6161,17,6161
Queens,Astoria Park,289,8,289
Bronx,East Tremont,235,78,235
Queens,Whitestone,174,252,174
Queens,East Flushing,60,73,60
Queens,Astoria,45822,7,45822
Queens,Elmhurst,7554,82,7554
Queens,Jamaica,2361,130,2361
Queens,Maspeth,1301,157,1301
Bronx,Mount Hope,419,169,419
Brooklyn,Midwood,418,165,418
Queens,Woodhaven,290,258,290
Brooklyn,Madison,173,149,173
Queens,Glen Oaks,119,101,119
Bronx,Eastchester,102,81,102
Queens,Far Rockaway,50,86,50
Queens,Rosedale,150,203,150
Queens,Broad Channel,8,30,8
Bronx,Rikers Island,3,199,3
Queens,Laurelton,94,139,94
Queens,Jamaica Bay,27,2,27
Bronx,Norwood,226,174,226
Queens,Corona,982,56,982
Bronx,Belmont,177,20,177
Queens,Corona,107,57,107
Queens,Hollis,53,122,53
