DO_Borough,DO_Zone,count(DO_Zone),DOLocationID,count(DOLocationID)
Brooklyn,Brighton Beach,2570,29,2570
Queens,Oakland Gardens,2336,175,2336
Bronx,Crotona Park East,1698,60,1698
Queens,Hammels/Arverne,1225,117,1225
Bronx,Van Cortlandt Park,919,240,919
Brooklyn,Park Slope,93114,181,93114
Brooklyn,Greenpoint,68915,112,68915
Brooklyn,Boerum Hill,51227,25,51227
Brooklyn,Fort Greene,46154,97,46154
Brooklyn,Cobble Hill,21453,52,21453
Queens,East Elmhurst,11667,70,11667
Queens,Middle Village,8384,160,8384
Brooklyn,Dyker Heights,3981,67,3981
Queens,Cambria Heights,2063,38,2063
Manhattan,Marble Hill,1196,153,1196
Staten Island,Stapleton,611,221,611
Queens,Forest Hills,32920,95,32920
Brooklyn,Borough Park,5769,26,5769
Queens,South Jamaica,3119,215,3119
Brooklyn,Coney Island,2911,55,2911
Brooklyn,Starrett City,955,222,955
Manhattan,Seaport,72721,209,72721
Brooklyn,Bay Ridge,21159,14,21159
Brooklyn,Red Hook,11419,195,11419
Bronx,Melrose South,8560,159,8560
Queens,North Corona,8388,173,8388
Queens,Fresh Meadows,4757,98,4757
Queens,Saint Albans,3968,205,3968
Queens,Howard Beach,3010,124,3010
Queens,East Flushing,1770,73,1770
Bronx,Pelham Bay Park,268,184,268
Manhattan,SoHo,228051,211,228051
Brooklyn,Gowanus,15113,106,15113
Queens,Rego Park,10634,196,10634
Queens,Kew Gardens,6898,134,6898
Brooklyn,Homecrest,3228,123,3228
Brooklyn,Bath Beach,1935,11,1935
Brooklyn,Gravesend,1474,108,1474
Queens,Far Rockaway,1463,86,1463
Queens,Willets Point,252,253,252
Queens,Steinway,57146,223,57146
Queens,Woodside,33660,260,33660
Brooklyn,Flatlands,4818,91,4818
Bronx,Parkchester,3458,182,3458
Bronx,East Tremont,2510,78,2510
Queens,Broad Channel,108,30,108
Queens,Astoria,125469,7,125469
Queens,Elmhurst,25295,82,25295
Queens,Flushing,12522,92,12522
Brooklyn,Midwood,5281,165,5281
Brooklyn,Madison,3011,149,3011
Queens,Laurelton,2329,139,2329
Queens,Glen Oaks,1761,101,1761
Bronx,Pelham Bay,1334,183,1334
Bronx,Co-Op City,2459,51,2459
Queens,Bellerose,1855,19,1855
Bronx,Country Club,594,58,594
Bronx,Crotona Park,181,59,181
Unknown,NV,311194,264,311194
Queens,Jamaica,7878,130,7878
Bronx,Longwood,2968,147,2968
Queens,Bayside,4154,16,4154
Bronx,Norwood,3311,174,3311
Bronx,Rikers Island,2,199,2
Queens,Corona,7862,56,7862
