PU_Borough,PU_Zone,count(PU_Zone),PULocationID,count(PULocationID),payment_type
Bronx,Van Cortlandt Village,366,241,366,1
Brooklyn,Gravesend,366,108,366,1
Queens,Middle Village,798,160,798,1
Brooklyn,Cypress Hills,795,63,795,2
Brooklyn,Bensonhurst West,790,22,790,2
Brooklyn,Prospect-Lefferts Gardens,788,188,788,3
Queens,Saint Michaels Cemetery/Woodside,787,207,787,1
Queens,Woodhaven,777,258,777,2
Staten Island,Grymes Hill/Clifton,165,115,165,1
Brooklyn,South Williamsburg,165,217,165,3
Queens,Cambria Heights,164,38,164,2
Queens,Elmhurst,159,82,159,4
Brooklyn,Clinton Hill,158,49,158,4
Brooklyn,Marine Park/Floyd Bennett Field,158,154,158,1
Bronx,Pelham Bay Park,36,184,36,1
Bronx,Pelham Parkway,36,185,36,3
Queens,Maspeth,36,157,36,4
Bronx,Van Cortlandt Village,35,241,35,3
Queens,Jamaica Bay,35,2,35,2
Queens,Jamaica Estates,35,131,35,3
Bronx,Williamsbridge/Olinville,35,254,35,3
Bronx,Williamsbridge/Olinville,426,254,426,2
Manhattan,Marble Hill,426,153,426,1
Brooklyn,Marine Park/Mill Basin,424,155,424,1
Manhattan,Battery Park,422,12,422,3
Queens,Hillcrest/Pomonok,422,121,422,2
Brooklyn,Dyker Heights,422,67,422,2
Manhattan,Lincoln Square East,2194590,142,2194590,1
Manhattan,Gramercy,1971882,107,1971882,1
Manhattan,Midtown North,1942184,163,1942184,1
Manhattan,Upper West Side South,1936974,239,1936974,1
Manhattan,East Chelsea,1837780,68,1837780,1
Manhattan,Times Sq/Theatre District,21399,230,21399,3
Brooklyn,Carroll Gardens,21319,40,21319,2
Manhattan,Penn Station/Madison Sq West,20784,186,20784,3
Brooklyn,Prospect Heights,20773,189,20773,1
Manhattan,Clinton East,19949,48,19949,3
Bronx,Schuylerville/Edgewater Park,38,208,38,3
Queens,Briarwood/Jamaica Hills,38,28,38,4
Queens,College Point,38,53,38,3
Manhattan,Randalls Island,37,194,37,4
Brooklyn,Bensonhurst East,37,21,37,3
Brooklyn,Crown Heights South,37,62,37,4
Manhattan,Midtown South,1826341,164,1826341,1
Manhattan,West Village,1725529,249,1725529,1
Manhattan,Lenox Hill West,1720563,141,1720563,1
Queens,JFK Airport,1679655,132,1679655,1
Manhattan,Upper East Side South,1553949,237,1553949,2
Queens,South Jamaica,2601,215,2601,2
