PU_Borough,PU_Zone,count(PU_Zone),PULocationID,count(PULocationID)
Brooklyn,Gowanus,4997,106,4997
Manhattan,Inwood,2881,127,2881
Queens,Rego Park,2201,196,2201
Brooklyn,Homecrest,414,123,414
Brooklyn,Gravesend,305,108,305
Queens,Rockaway Park,26,201,26
Brooklyn,Bedford,8094,17,8094
Bronx,East Tremont,325,78,325
Bronx,Hunts Point,324,126,324
Queens,Astoria Park,310,8,310
Bronx,Parkchester,308,182,308
Queens,Ozone Park,201,180,201
Staten Island,Oakwood,7,176,7
Unknown,NV,490332,264,490332
Queens,Ridgewood,985,198,985
Bronx,Highbridge,922,119,922
Bronx,Mount Hope,515,169,515
Brooklyn,Canarsie,501,39,501
Brooklyn,Midwood,425,165,425
Brooklyn,Madison,197,149,197
Queens,Far Rockaway,49,86,49
Brooklyn,Erasmus,657,85,657
Queens,Glendale,221,102,221
Queens,Bellerose,204,19,204
Bronx,Co-Op City,189,51,189
Queens,Rosedale,117,203,117
Unknown,NA,13167,265,13167
Bronx,Bronxdale,114,32,114
Queens,Laurelton,79,139,79
Queens,Douglaston,77,64,77
Bronx,Pelham Bay,56,183,56
Queens,Jamaica Bay,20,2,20
Queens,Bayside,183,16,183
Queens,Auburndale,95,9,95
Bronx,Bronx Park,74,31,74
Bronx,Belmont,173,20,173
Queens,Corona,133,57,133
Queens,Hollis,64,122,64
